wikidata,label
Q5016137,"Cactus (Jasmine Yuen Carrucan, 2008)"
Q280928,"Candy (Neil Armfield, 2006)"
Q16972185,"Canopy (Aaron Wilson, 2013)"
Q5038998,"Careless Love (John Duigan, 2012)"
Q39074257,"Cargo (Ben Howling/Yolanda Ramke, 2017)"
Q2471493,"The Castle (Rob Sitch, 1997)"
Q7721707,"The Caterpillar Wish (Sandra Sciberras, 2006)"
Q5054430,"Caught Inside (Adam Blaiklock, 2010)"
Q5056580,"Cedar Boys (Serhat Caradee, 2009)"
Q65051759,"Celeste (Ben Hackworth, 2018)"
Q127543868,Cerulean Blue (2018)
Q1648869,"Charlie & Boots (Dean Murphy, 2009)"
Q16736456,"Charlie's Country (Rolf de Heer, 2013)"
Q106390587,Chasing Wonders
Q1977021,"Children of the Revolution (Peter Duncan, 1996)"
Q164663,"The Children of Huang Shi (Roger Spottiswoode, 2008)"
Q127600806,Chocolate Oyster (2019)
Q128855,"Chopper (Andrew Dominik, 2000)"
Q5123285,"City Loop (Belinda Chayko, 2000)"
Q3283639,"Closed for Winter (James Bogle, 2009)"
Q1745723,"Clubland (Cherie Nowlan, 2007)"
Q5141012,"Coffin Rock (Rupert Glasson, 2009)"
Q4655994,"A Cold Summer (Paul Middleditch, 2003)"
Q7726899,"The Combination (David Field, 2009)"
Q127600808,The Combination: Redemption (2019)
Q132636557,The Competition (2014)
Q115676246,"Convict (George Basha, 2014)"
Q132636559,Cooped Up (2016)
Q127543514,Corroboree (2007)
Q5173917,"Cosi (Mark Joffe, 1996)"
Q4158757,"Country Life (film) (Michael Blakemore, 1994)"
Q12110058,"Crackerjack (Paul Moloney, 2002)"
Q5180379,"Crackers (David Swann, 1998)"
Q7727942,"The Craic (Ted Emery, 1999)"
Q5187786,"Crooked Business (Chris Nyst, 2008)"
Q7728163,"The Crop (Scott Patterson, 2004)"
Q7728178,"The Crossing (George Ogilvie, 1990)"
Q5190184,"Crush (John V. Soto, 2009)"
Q127600752,Crushed (2015)
Q5192195,"Cubbyhouse (Murray Fahey, 2001)"
Q922054,"The Cup (Dzongsar Jamyang Khyentse Rinpoche, 1999)"
Q7728406,"The Cup (Simon Wincer, 2011)"
Q7728500,"The Custodian (John Dingwall, 1993)"
Q978522,"Cut (Kimble Rendall, 2000)"
Q18164602,"Cut Snake (Tony Ayres, 2014)"
Q5207857,"Dad and Dave: On Our Selection (George Whaley, 1995)"
Q5208656,"Dags (Murray Fahey, 1998)"
Q5211065,"Dalkeith (Leigh Sheehan, 2001)"
Q5211325,"Dallas Doll (Ann Turner, 1994)"
Q41783910,"Dance Academy: The Movie (Jeffrey Walker, 2017)"
Q5215162,"Dance Me to My Song (Rolf de Heer, 1998)"
Q60590159,"Danger Close: The Battle of Long Tan (Kriv Stenders, 2019)"
Q3430722,"Danny Deckchair (Jeff Balsmeyer, 2003)"
Q1127281,"Dark City (Alex Proyas, 1998)"
Q122912809,The Darkside
Q3429332,"Dating the Enemy (Megan Simpson Huberman, 1996)"
Q20745693,"The Daughter (Simon Stone, 2015)"
Q127600422,The Day Neil Armstrong Walked On The Moon (2002)
Q1128499,"Daybreakers (Michael Spierig/Peter Spierig, 2009)"
Q7736524,"The Girl Who Came Late (Kathy Mueller, 1991)"
Q5245178,"Dead Europe (Tony Krawitz, 2012)"
Q5245210,"Dead Heart (Nick Parsons, 1996)"
Q5245250,"Dead Letter Office (John Ruane, 1997)"
Q5245405,"Dead Sleep (Alec Mills, 1991)"
Q5245524,"Dead to the World (Ross Gibson, 1991)"
Q5245604,"Deadly (Esben Storm, 1991)"
Q5246824,"Dear Claudia (Chris Cudlipp, 1999)"
Q24905864,The Death and Life of Otto Bloom (2016)
Q666422,"Death Defying Acts (Gillian Armstrong, 2007)"
Q4424397,"Death in Brunswick (John Ruane, 1990)"
Q132636561,Deceit (2013)
Q83730,"December Boys (Rod Hardy, 2007)"
Q5249264,"Deck Dogz (Steve Pasvolsky, 2005)"
Q127600651,Max's Dreaming (2002)
Q132636562,"Desire (Bill Mousoulis, 1999)"
Q5271064,"Diana & Me (David Parker, 1997)"
Q3028325,"Dingo (Rolf de Heer, 1991)"
Q127600386,The Dinner Party (2008)
Q60737528,"Dirt Music (Gregor Jordan, 2019)"
Q4151182,"Dirty Deeds (David Caesar, 2002)"
Q108030463,Disclosure
Q281830,"Disgrace (Steve Jacobs, 2008)"
Q1410845,"The Dish (Rob Sitch, 2000)"
Q3714858,"Dr. Plonk (Rolf de Heer, 2007)"
Q123288117,"Dogwatch (Laurie McInnes, 1999)"
Q5288674,"Doing Time for Patsy Cline (Chris Kennedy, 1997)"
Q42048160,Don't Tell (2017)
Q27959595,"Down Under (Abe Forsythe, 2016)"
Q20814503,"Downriver (Grant Scicluna, 2015)"
Q119819355,Dreamland
Q124311957,Dreams for Life
