"wikidata","label"
"Q16736456","Charlie's Country (Heer, 2013)"
"Q106390587","Chasing Wonders (2020)"
"Q1977021","Children of the Revolution (Duncan, 1996)"
"Q164663","The Children of Huang Shi (Spottiswoode, 2008)"
"Q127600806","Chocolate Oyster (2019)"
"Q128855","Chopper (Dominik, 2000)"
"Q5123285","City Loop (Chayko, 2000)"
"Q3283639","Closed for Winter (Bogle, 2009)"
"Q1745723","Clubland (Nowlan, 2007)"
"Q5141012","Coffin Rock (Glasson, 2009)"
"Q4655994","A Cold Summer (Middleditch, 2003)"
"Q7726899","The Combination (Field, 2009)"
"Q127600808","The Combination: Redemption (2019)"
"Q132636557","The Competition (2014)"
"Q115676246","Convict (Basha, 2014)"
"Q132636559","Cooped Up (2016)"
"Q127543514","Corroboree (2007)"
"Q5173917","Cosi (Joffe, 1996)"
"Q4158757","Country Life (Blakemore, 1994)"
"Q12110058","Crackerjack (Moloney, 2002)"
"Q5180379","Crackers (Swann, 1998)"
"Q7727942","The Craic (Emery, 1999)"
"Q5187786","Crooked Business (Nyst, 2008)"
"Q7728163","The Crop (Patterson, 2004)"
"Q7728178","The Crossing (Ogilvie, 1990)"
"Q5190184","Crush (Soto, 2009)"
"Q127600752","Crushed (2015)"
"Q5192195","Cubbyhouse (Fahey, 2001)"
"Q922054","The Cup (Rinpoche, 1999)"
"Q7728406","The Cup (Wincer, 2011)"
"Q7728500","The Custodian (Dingwall, 1993)"
"Q978522","Cut (Rendall, 2000)"
"Q18164602","Cut Snake (Ayres, 2014)"
"Q5207857","Dad and Dave: On Our Selection (Whaley, 1995)"
"Q5208656","Dags (Fahey, 1998)"
"Q5211065","Dalkeith (Sheehan, 2001)"
"Q5211325","Dallas Doll (Turner, 1994)"
"Q41783910","Dance Academy: The Movie (Walker, 2017)"
"Q5215162","Dance Me to My Song (Heer, 1998)"
"Q60590159","Danger Close: The Battle of Long Tan (Stenders, 2019)"
"Q3430722","Danny Deckchair (Balsmeyer, 2003)"
"Q1127281","Dark City (Proyas, 1998)"
"Q122912809","The Darkside (2013)"
"Q3429332","Dating the Enemy (Huberman, 1996)"
"Q20745693","The Daughter (Stone, 2015)"
"Q127600422","The Day Neil Armstrong Walked On The Moon (2002)"
"Q1128499","Daybreakers (Spierig/Spierig, 2009)"
"Q7736524","The Girl Who Came Late (Mueller, 1991)"
"Q5245178","Dead Europe (Krawitz, 2012)"
"Q5245210","Dead Heart (Parsons, 1996)"
"Q5245250","Dead Letter Office (Ruane, 1997)"
"Q5245405","Dead Sleep (Mills, 1991)"
"Q5245524","Dead to the World (Gibson, 1991)"
"Q5245604","Deadly (Storm, 1991)"
"Q5246824","Dear Claudia (Cudlipp, 1999)"
"Q24905864","The Death and Life of Otto Bloom (2016)"
"Q666422","Death Defying Acts (Armstrong, 2007)"
"Q4424397","Death in Brunswick (Ruane, 1990)"
"Q132636561","Deceit (2013)"
"Q83730","December Boys (Hardy, 2007)"
"Q5249264","Deck Dogz (Pasvolsky, 2005)"
"Q127600651","Max's Dreaming (2002)"
"Q132636562","Desire (Mousoulis, 1999)"
"Q5271064","Diana & Me (Parker, 1997)"
"Q3028325","Dingo (Heer, 1991)"
"Q127600386","The Dinner Party (2008)"
"Q60737528","Dirt Music (Jordan, 2019)"
"Q4151182","Dirty Deeds (Caesar, 2002)"
"Q108030463","Disclosure (2020)"
"Q281830","Disgrace (Jacobs, 2008)"
"Q1410845","The Dish (Sitch, 2000)"
"Q3714858","Dr. Plonk (Heer, 2007)"
"Q123288117","Dogwatch (McInnes, 1999)"
"Q5288674","Doing Time for Patsy Cline (Kennedy, 1997)"
"Q42048160","Don't Tell (2017)"
"Q27959595","Down Under (Forsythe, 2016)"
"Q20814503","Downriver (Scicluna, 2015)"
"Q119819355","Dreamland (2009)"
"Q124311957","Dreams for Life (2004)"
"Q18389586","The Dressmaker (Moorhouse, 2015)"
"Q3415674","Drift (O'Neill, 2013)"
"Q15039740","Drive Hard (Trenchard-Smith, 2014)"
"Q106093003","The Drover’s Wife (Purcell, 2021)"
"Q21186168","Drown (Francis, 2015)"
"Q104374134","The Dry (Connolly, 2020)"
"Q5316988","Dust Off the Wings (Rogers, 1997)"
"Q110518235","The Dustwalker (Sciberras, 2019)"
"Q115394","Dying Breed (Dwyer, 2008)"
"Q23929932","Early Winter (Rowe, 2015)"
"Q5348951","Eight Ball (Argall, 1992)"
"Q107105075","Ellie & Abbie (Zanetti, 2020)"
"Q127543876","Ellipsis (2018)"
"Q5367072","Eloise (2002)"
"Q5368741","Em4Jay (Tsilimidos, 2008)"
"Q104177851","Emu Runner (2019)"
"Q127600266","Emulsion (2006)"
"Q5375590","Encounters (Fahey, 1993)"
"Q118946028","Envy (1999)"
"Q3415982","Epsilon (Heer, 1997)"
"Q4532625","Erskineville Kings (White, 1999)"
"Q120169016","Escape and Evasion (Ashwood, 2019)"
"Q62075994","Escape from Pretoria (Annan, 2020)"
"Q59453151","Event Zero (Tedeschi, 2017)"
"Q5417859","Everynight ... Everynight (Tsilimidos, 1994)"
"Q4081065","Exchange Lifeguards (Murphy, 1992)"
"Q5420265","Exile (Cox, 1994)"
"Q7732882","The Extra (Carlin, 2005)"
"Q3520813","The Eye of the Storm (Schepisi, 2011)"
"Q5428410","Face to Face (Rymer, 2011)"
"Q5437219","Fat Pizza (Fenech, 2003)"
"Q5437280","Fatal Bond (Monton, 1992)"
"Q4380063","Fatal Sky (Shields, 1990)"
"Q5437557","Father (Power, 1990)"
"Q127600946","The Fear Of Darkness (2014)"
"Q1400892","Feed (Leonard, 2005)"
"Q122912812","Fell (2014)"
"Q3068196","Felony (Saville, 2013)"
"Q198560","A Few Best Men (Elliott, 2011)"
"Q29907988","A Few Less Men (Lamprell, 2017)"
"Q4550854","15 Amore (Murphy, 1999)"
"Q127600283","Fat Legs (2016)"
"Q7733953","The Final Winter (Andrews/Forrest, 2007)"
"Q127600701","Finding Joy (2003)"
"Q7733988","The Finished People (Do, 2003)"
"Q5455347","Fistful of Flies (Pellizzari, 1996)"
"Q127599958","The Five Provocations (2018)"
"Q127665","Flirting (Duigan, 1991)"
"Q5459878","Floating Life (Law, 1996)"
"Q122925839","The Flood (2022)"
"Q5463640","Flynn (Howson, 1993)"
"Q5466613","Footy Legends (Do, 2006)"
"Q130465585","For Now (2017)"
"Q127600392","Force Of Destiny (2015)"
"Q612373","Fortress (Gordon, 1992)"
"Q132636563","Fortune (Scarf, 2009)"
"Q4638652","48 Shades (Lapaine, 2006)"
"Q5475706","Four of a Kind (Cochrane, 2008)"
"Q594030","Frauds (Elliott, 1993)"
"Q127600104","Freedom Deep (1997)"
"Q5502935","Fresh Air (Fahey, 1999)"
"Q109442804","The Furnace (2020)"
"Q2638438","Gabriel (Abbess/Lengyel, 2007)"
"Q67098007","Galore (Graham, 2013)"
"Q3007933","Garage Days (Proyas, 2002)"
"Q5522034","Garbo (Cobb, 1992)"
"Q127600199","The Gates Of Hell (2008)"
"Q107570772","The Gateway (Soto, 2018)"
"Q5553798","Get Away, Get Away (Fahey, 1992)"
"Q5554560","Gettin' Square (Teplitzky, 2003)"
"Q5563206","Gino (McKimmie, 1993)"
"Q21010855","Girl Asleep (Myers, 2015)"
"Q90297034","Go Karts (Trevor, 2020)"
"Q5576273","Goddess (Lamprell, 2013)"
"Q1138902","The Goddess of 1967 (Law, 2000)"
"Q17005455","Golden Braid (Cox, 1990)"
"Q25136735","Goldstone (Sen, 2016)"
"Q1537088","Gone (Ledwidge, 2007)"
"Q892735","The Great Gatsby (Luhrmann, 2013)"
"Q105102351","Great White (2021)"
"Q505135","Green Card (Weir, 1990)"
"Q5604194","Greenkeeping (Caesar, 1992)"
"Q5608758","Griff the Invisible (Ford, 2010)"
"Q28369717","Gringo (Edgerton, 2018)"
"Q2515683","Gross Misconduct (Miller, 1993)"
"Q86501880","H Is for Happiness (Sheedy, 2019)"
"Q21010856","Hacksaw Ridge (Gibson, 2016)"
"Q16641112","Hail (Courtin-Wilson, 2011)"
"Q3545539","Hammers Over the Anvil (Turner, 1993)"
"Q126800","Happy Feet (Miller, 2006)"
"Q816857","Happy Feet Two (Miller, 2011)"
"Q5654787","Harbour Beat (Elfick, 1990)"
"Q600253","The Hard Word (Roberts, 2002)"
"Q56596889","Harmony (2018)"
"Q3285042","Hating Alison Ashley (Bennett, 2005)"
"Q3415693","He Died with a Felafel in His Hand (Lowenstein, 2001)"
"Q2700562","Head On (Kokkinos, 1998)"
"Q15039629","Healing (Monahan, 2014)"
"Q15039741","A Heartbeat Away (Edwards, 2011)"
"Q7739216","The Heartbreak Kid (Jenkins, 1993)"
"Q73543245","Hearts and Bones (Lawrence, 2019)"
"Q1516308","Heaven's Burning (Lahiff, 1997)"
"Q127543723","The Heckler (2014)"
"Q4114646","Hercules Returns (Parker, 1993)"
"Q5737257","Here I Am (Cole, 2011)"
"Q5749159","Hey, Hey, It's Esther Blueburger (Randall, 2008)"
"Q87654420","High Ground (Johnson, 2020)"
"Q127600649","Hildegarde (2002)"
"Q20647417","Holding the Man (Armfield, 2015)"
"Q5880596","Holidays on the River Yarra (Berkeley, 1991)"
"Q143835","Holy Smoke! (Campion, 1999)"
"Q5368751","The Home Song Stories (Ayres, 2007)"
"Q7740191","The Honourable Wally Norman (Emery, 2003)"
"Q5236629","The Horseman (2008)"
"Q5905890","Horseplay (Kazantzidis, 2003)"
"Q127600742","Hostage To Fate (2004)"
"Q130582188","Hot Mess (2018)"
"Q5912157","Hotel de Love (Rosenberg, 1996)"
"Q27703167","Hotel Mumbai (Maras, 2018)"
"Q12124874","Hotel Sorrento (Franklin, 1995)"
"Q27962542","Hounds of Love (Young, 2016)"
"Q5916271","Housos vs. Authority (Fenech, 2012)"
"Q127600243","How Do You Know Chris? (2020)"
"Q5937650","Human Touch (Cox, 2004)"
"Q12124935","Hunt Angels (Morgan, 2006)"
"Q2118926","The Hunter (Nettheim, 2011)"
"Q4085738","Hunting (Howson, 1991)"
"Q5947021","Hurrah (Shields, 1998)"
"Q12124942","Hurricane Smith (Budds, 1992)"
"Q55762009","I Am Mother (Sputore, 2019)"
"Q67171163","I Am Woman (Moon, 2019)"
"Q2708907","I, Frankenstein (Beattie, 2014)"
"Q4535752","I Love You Too (Reid, 2010)"
"Q5988951","Idiot Box (Caesar, 1996)"
"Q12125013","The Illustrated Family Doctor (Stenders, 2005)"
"Q12125031","In a Savage Land (Bennett, 1999)"
"Q19874556","In the Winter Dark (Bogle, 1998)"
"Q7741792","The Independent (O'Keefe/Studley, 2007)"
"Q19874606","Infini (Abbess, 2015)"
"Q19874608","The Infinite Man (Sullivan, 2014)"
"Q127599899","The Inner Sanctuary (1996)"
"Q6035913","Innocence (Cox, 2000)"
"Q127600415","The Inside Story (2001)"
"Q7742367","The Interview (Monahan, 1998)"
"Q64004122","The Invisible Man (Whannell, 2020)"
"Q1778814","Irresistible (Turner, 2006)"
"Q127600287","Is This The Real World (2015)"
"Q2339315","The Jammed (McLachlan, 2007)"
"Q4303595","Japanese Story (Brooks, 2003)"
"Q27959325","Jasper Jones (Perkins, 2017)"
"Q1790524","Jindabyne (Lawrence, 2006)"
"Q58814991","Jirga (Gilmour, 2018)"
"Q27959460","Joe Cinque's Consolation (Dounoukos, 2016)"
"Q11310825","Joey (Barry, 1997)"
"Q19961325","John Doe: Vigilante (Dolen, 2014)"
"Q6289021","Josh Jarman (Mushin, 2004)"
"Q6302017","Jucy (Alston, 2010)"
"Q61450786","Judy and Punch (Foulkes, 2019)"
"Q110983659","June Again (Winlove, 2020)"
"Q28173325","Jungle (McLean, 2017)"
"Q127600106","Justice (1997)"
"Q127543930","Kairos (2019)"
"Q6376051","Kath & Kimderella (Emery, 2012)"
"Q127600863","Katusha (2008)"
"Q6390950","Kenny (Jacobson, 2006)"
"Q6404196","Kick (Heys, 1999)"
"Q18165705","Kill Me Three Times (Stenders, 2014)"
"Q39075595","The Killing Ground (Power, 2016)"
"Q54801155","The King (Michôd, 2019)"
"Q7744536","The King is Dead (Heer, 2012)"
"Q8029053","Wog Boy 2: Kings of Mykonos (Andrikidis, 2010)"
"Q4657584","A Kink in the Picasso (Gracie, 1990)"
"Q1743756","Kiss or Kill (Bennett, 1997)"
"Q127600855","Kissing Paris (2008)"
"Q10968934","Kokoda (Grierson, 2006)"
"Q781604","Komodo (Lantieri, 1999)"
"Q6465315","La Spagnola (Jacobs, 2001)"
"Q58814676","Ladies in Black (Beresford, 2018)"
"Q6477009","Lake Mungo (2008)"
"Q690463","Lantana (Lawrence, 2001)"
"Q20751330","Last Cab To Darwin (Sims, 2015)"
"Q6494265","Last Dance (Pulbrook, 2012)"
"Q4315248","The Last Days of Chez Nous (Armstrong, 1992)"
"Q1660083","Last Ride (Ivin, 2009)"
"Q6494727","Last Train to Freo (Sims, 2006)"
"Q21095441","The Legend of Ben Hall (Holmes, 2016)"
"Q622763","Legend of the Guardians: The Owls of Ga'Hoole (Snyder, 2010)"
"Q127543437","Let Me Not (2004)"
"Q6532367","Let's Get Skase (George, 2001)"
"Q6537610","Lex and Rory (Murphy, 1994)"
"Q6544652","Life (Johnston, 1996)"
"Q15039826","The Life of Harry Dare (Vellis, 1995)"
"Q1511623","Lightning Jack (Wincer, 1994)"
"Q1984949","Like Minds (Read, 2006)"
"Q6547664","Lilian's Story (Domaradzki, 1996)"
"Q23013699","Lion (Davis, 2015)"
"Q115627291","A Lion Returns (2020)"
"Q987973","A Little Bit of Soul (Duncan, 1998)"
"Q19875286","The Little Death (Lawson, 2014)"
"Q1865670","Little Fish (Woods, 2005)"
"Q64174928","Little Monsters (Forsythe, 2019)"
"Q56604946","Locusts (2019)"
"Q109352492","Lone Wolf (Ogilvie, 2021)"
"Q127599762","The Long Line (1993)"
"Q104786128","Long Story Short (Lawson, 2021)"
"Q12125818","Look Both Ways (Watt, 2005)"
"Q834367","Looking for Alibrandi (Woods, 2000)"
"Q20751332","Looking for Grace (Brooks, 2015)"
"Q421583","Lore (Shortland, 2012)"
"Q127600813","Lost And Found (2006)"
"Q11786367","Lost Things (Murphy, 2003)"
"Q3260102","Lou (Chayko, 2010)"
"Q6691661","Love and Other Catastrophes (Croghan, 1996)"
"Q127599544","Love in Ambush (1997)"
"Q6691803","Love in Limbo (Elfick, 1993)"
"Q127599917","Love In The First Degree (2006)"
"Q127543726","Love Is Now (2014)"
"Q3491414","Love Serenade (Barrett, 1996)"
"Q127600175","Love You Like That (2021)"
"Q2296492","The Loved Ones (Byrne, 2009)"
"Q1306776","Love's Brother (Sardi, 2004)"
"Q132636565","Lovesick (Mousoulis, 2003)"
"Q56277621","LoveStuck (Fahey, 2017)"
"Q127600370","Low-Fat Elephants (2000)"
"Q6697866","Lucky Break (Lewin, 1994)"
"Q6697875","Lucky Country (Stenders, 2009)"
"Q6697962","Lucky Miles (Rowland, 2007)"
"Q6705261","Lust and Revenge (Cox, 1986)"
"Q6721611","Mabo (Perkins, 2012)"
"Q3841961","Macbeth (Wright, 2006)"
"Q6725911","Mad Bastards (Fletcher, 2011)"
"Q6725917","Mad Bomber in Love (Bogle, 1992)"
"Q1757288","Mad Max: Fury Road (Miller, 2015)"
"Q15650834","The Magic Pudding (Zwicky, 2000)"
"Q7749533","The Magician (Ryan, 2005)"
"Q6744098","Mallboy (Giarrusso, 2001)"
"Q839908","The Man Who Sued God (Joffe, 2001)"
"Q19875370","Manny Lewis (Mir, 2015)"
"Q4658033","A Man's Gotta Do (Kennedy, 2004)"
"Q622877","Mao's Last Dancer (Beresford, 2009)"
"Q32424","Map of the Human Heart (Ward, 1992)"
"Q127543586","The Marriage Of Figaro (2009)"
"Q6778749","Mary (Pavlou, 1994)"
"Q1128756","Mary and Max (Elliot, 2009)"
"Q3428577","Matching Jack (Tass, 2010)"
"Q18654947","Maya the Bee Movie (Stadermann, 2014)"
"Q127600408","Me & My Left Brain (2019)"
"Q3429348","Me Myself I (Karmel, 2000)"
"Q116055825","Measure for Measure (2020)"
"Q6815990","Men's Group (Joy, 2008)"
"Q12126147","Mental (Hogan, 2012)"
"Q6822696","Metal Skin (Wright, 1994)"
"Q132636566","Mirror (2015)"
"Q60737579","Miss Fisher and the Crypt of Tears (Tilse, 2020)"
"Q7751722","The Missing (1999)"
"Q12126301","Mr. Accident (Serious, 2000)"
"Q6929129","Mr. Reliable (Tass, 1996)"
"Q12126226","Modern Love (Frayne, 2006)"
"Q127600183","The Venus Factory (1998)"
"Q6900802","Monkey Puzzle (Forstmann, 2008)"
"Q1712162","The Monkey's Mask (Lang, 2000)"
"Q21869637","A Month of Sundays (Saville, 2015)"
"Q115516441","Moon Rock For Monday (2021)"
"Q6917340","Mother Fish (Do, 2009)"
"Q193573","Moulin Rouge! (Luhrmann, 2001)"
